name,symbol,price(USD),change24h,change7d,market_cap(USD),volume24h(USD),circulating_supply
Bitcoin,BTC,39097.48,1.64,-2.1,731898058885,45497879155,18719825
Ethereum,ETH,2787.89,2.31,-0.01,323529858990,36041719756,116048312
Tether,USDT,1.0,-0.01,-0.03,61016481531,100809954331,60918547889
Binance Coin,BNB,374.46,2.59,-3.48,57453818799,4146158377,153432897
Cardano,ADA,1.71,-0.56,-4.56,54527120327,4414765824,31948309441
XRP,XRP,0.9915,0.86,-15.48,45749850289,5366715062,46143602688
Dogecoin,DOGE,0.335,-3.13,-17.26,43474766906,2472166559,129776492184
Polkadot,DOT,24.44,3.4,-14.66,23032184986,2763794433,942361352
USD Coin,USDC,1.0,0.0,0.06,22028677114,1983162949,22016486483
Internet Computer,ICP,136.27,-1.1,-24.01,16903685416,291528207,124048742
Uniswap,UNI,28.94,11.78,10.29,16371929833,1115696207,565684971
Bitcoin Cash,BCH,773.33,5.91,-4.85,14498690061,3471099420,18748313
Chainlink,LINK,33.0,8.73,7.92,14126062312,3115934403,428009554
Litecoin,LTC,198.48,2.77,-5.75,13248720472,4079410951,66752415
Polygon,MATIC,2.09,-7.5,5.77,12952155096,5407967748,6211590053
Stellar,XLM,0.4315,-1.48,-12.03,9971003087,1461095316,23106938452
Solana,SOL,34.2,0.5,-28.15,9325415765,667616262,272637428
Binance USD,BUSD,1.0,0.01,0.09,8833805275,6284404901,8828293822
Ethereum Classic,ETC,74.76,-2.07,2.0,8695993553,5076906304,116313299
VeChain,VET,0.127,-2.06,-1.9,8168979216,1259982229,64315576989
THETA,THETA,7.89,10.26,7.15,7888187973,381048522,1000000000
Wrapped Bitcoin,WBTC,39167.78,1.34,-2.49,7215153516,259824734,184211
EOS,EOS,7.29,18.46,12.22,6949034351,5437939459,953742275
TRON,TRX,0.08019,-0.39,-8.49,5746648921,1910841789,71659657369
Filecoin,FIL,71.05,-1.62,-19.19,5243724853,814079545,73806120
Aave,AAVE,384.03,4.19,-19.9,4902039892,700374689,12764761
Monero,XMR,258.53,0.56,-1.91,4632599737,352794308,17918893
Dai,DAI,1.0,-0.0,0.04,4622711405,455092016,4616005532
Neo,NEO,63.13,5.74,-4.25,4452869486,909725816,70538831
Klaytn,KLAY,1.6,1.08,-3.65,3945321214,70556233,2467876916
Maker,MKR,3776.11,0.45,-3.5,3744047362,253664256,991510
SHIBA INU,SHIB,8.978e-06,-4.17,-11.91,3544422008,729321959,394796000000000
Tezos,XTZ,4.01,6.11,-2.04,3515874717,240320876,877375709
Bitcoin SV,BSV,184.4,4.16,-3.53,3456358554,1187723302,18744183
FTX Token,FTT,36.29,3.25,-10.2,3423641035,100360810,94346958
IOTA,MIOTA,1.21,1.51,-7.6,3362223521,121782359,2779530283
Crypto.com Coin,CRO,0.1311,2.94,5.49,3313073786,74889562,25263013692
Cosmos,ATOM,14.7,2.4,-9.69,3098219720,324716629,210767263
PancakeSwap,CAKE,18.65,1.49,-7.64,3075089146,394320778,164900129
Algorand,ALGO,0.994,-0.73,-9.51,3037134308,179676970,3055319852
THORChain,RUNE,14.07,16.01,1.46,3005520649,191422016,213536800
Huobi Token,HT,16.24,-0.22,-29.83,2843482194,600541598,175074232
BitTorrent,BTT,0.004213,-0.32,-1.38,2780395966,784047924,659952625000
Terra,LUNA,6.88,2.54,-33.35,2786133432,544871110,404739974
Kusama,KSM,321.56,-0.1,-19.01,2723626674,253736564,8470098
Avalanche,AVAX,19.63,0.6,-24.11,2545145832,131006296,129646647
Compound,COMP,429.42,-2.35,-20.79,2238818737,205253783,5213577
Hedera Hashgraph,HBAR,0.2563,-2.1,-5.35,2160980450,271419485,8430320688
Bitcoin BEP2,BTCB,39144.81,1.71,-1.8,2137228975,85404719,54598
Dash,DASH,208.72,1.5,-5.06,2118522590,669442798,10149864
Elrond,EGLD,113.97,-4.05,0.24,1997518238,82462408,17526860
TerraUSD,UST,0.9969,0.1,0.86,1969715119,73939942,1975924622
Decred,DCR,151.68,9.46,8.46,1966869517,39394167,12967054
UNUS SED LEO,LEO,2.05,-5.61,-30.42,1958119392,2495127,953954130
NEM,XEM,0.2096,3.22,-3.66,1886350851,124665741,8999999999
Telcoin,TEL,0.036,-1.71,13.01,1867782649,61787041,51884110195
Zcash,ZEC,151.11,1.17,-15.19,1792430052,451427252,11862100
Chiliz,CHZ,0.3065,5.28,-0.87,1777751484,568509464,5799955194
Waves,WAVES,16.52,5.86,-32.81,1738053025,185806301,105214474
yearn.finance,YFI,47335.73,0.07,-8.6,1734146004,495709284,36635
Theta Fuel,TFUEL,0.3158,8.76,10.41,1674209441,33821387,5301214400
Holo,HOT,0.009683,-7.39,12.09,1671988072,235101186,172673864848
Celsius,CEL,6.77,-1.19,6.38,1615942498,19104781,238863520
SushiSwap,SUSHI,12.31,-1.46,-19.23,1566722840,603563402,127244443
Synthetix,SNX,13.59,-1.07,-16.04,1560841561,105240035,114841533
Decentraland,MANA,0.9326,-0.24,1.51,1474015991,256670530,1580471221
Enjin Coin,ENJ,1.72,-4.56,19.68,1432192081,803028374,834331121
Helium,HNT,16.75,14.6,28.17,1413026819,26484279,84371794
Zilliqa,ZIL,0.1237,-1.02,-9.57,1399941732,135915033,11317765381
Qtum,QTUM,13.73,14.37,10.49,1350686693,1114999836,98400428
Basic Attention Token,BAT,0.9,14.45,5.51,1346405960,342810256,1495982656
Paxos Standard,PAX,1.0,-0.0,0.06,1328794127,70250986,1328436866
Stacks,STX,1.13,9.19,11.66,1297300780,32800850,1149082526
Nexo,NEXO,2.32,1.88,-5.02,1296916260,15342154,560000011
NEAR Protocol,NEAR,3.3,-4.87,-18.15,1276553605,92011440,387024127
Revain,REV,0.01419,-9.95,-21.21,1207396374,4174146,85061485690
Bitcoin Gold,BTG,68.88,4.72,0.02,1206350838,53833845,17513924
TrueUSD,TUSD,1.0,0.02,0.07,1126007267,151425676,1125523285
Nano,NANO,8.39,5.96,-7.91,1117898151,92654938,133248297
Horizen,ZEN,100.33,1.89,23.11,1116343108,103910575,11127069
Ontology,ONT,1.24,3.14,-6.71,1073226745,359662212,862599654
OMG Network,OMG,7.53,8.38,16.77,1055562678,619441806,140245398
Harmony,ONE,0.1085,3.5,-11.65,1031079957,153728216,9507132552
Bancor,BNT,5.0,4.3,-5.56,1018657600,130156699,203720167
DigiByte,DGB,0.07068,-6.45,-22.83,1014005543,63402912,14346790965
0x,ZRX,1.16,3.74,2.44,973391288,109406143,841921228
SwissBorg,CHSB,0.9701,2.54,2.53,970056814,12441759,1000000000
HUSD,HUSD,1.0,-0.0,0.04,968522104,154911325,968026129
The Graph,GRT,0.7725,-9.26,-14.55,962250347,153881709,1245666867
BakeryToken,BAKE,4.89,24.69,5.52,923011150,345659552,188717930
Siacoin,SC,0.01928,-2.37,-0.57,922520689,79373301,47847172992
Fantom,FTM,0.3535,0.83,-22.26,899706546,97777634,2545006273
UMA,UMA,14.7,0.4,-18.59,892790952,32716772,60722115
OKB,OKB,14.69,0.72,-27.97,881563915,790198030,60000000
Mdex,MDX,2.08,9.28,1.72,865610328,118089392,415668275
Celo,CELO,3.81,4.7,-4.76,858715740,26169418,225479897
Ravencoin,RVN,0.09631,1.39,-2.01,853587388,77568236,8862715000
ICON,ICX,1.26,-1.5,-6.92,781608724,64955062,621855152
Ankr,ANKR,0.1113,2.13,-9.55,778732993,80763378,6996232711
XinFin Network,XDC,0.05479,2.67,-13.47,672273811,5207010,12268950136
